cd,name
,
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
02,Beaverhead-Deerlodge NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
03,Bitterroot NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
04,Idaho Panhandle NF
05,Clearwater NF
05,Clearwater NF
05,Clearwater NF
05,Clearwater NF
05,Clearwater NF
05,Clearwater NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
08,Custer NF
10,Flathead NF
10,Flathead NF
10,Flathead NF
10,Flathead NF
10,Flathead NF
10,Flathead NF
11,Gallatin NF
11,Gallatin NF
11,Gallatin NF
11,Gallatin NF
11,Gallatin NF
11,Gallatin NF
11,Gallatin NF
12,Helena NF
12,Helena NF
12,Helena NF
12,Helena NF
12,Helena NF
12,Helena NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
14,Kootenai NF
15,Lewis and Clark NF
15,Lewis and Clark NF
15,Lewis and Clark NF
15,Lewis and Clark NF
15,Lewis and Clark NF
15,Lewis and Clark NF
15,Lewis and Clark NF
15,Lewis and Clark NF
15,Lewis and Clark NF
16,Lolo NF
16,Lolo NF
16,Lolo NF
16,Lolo NF
16,Lolo NF
16,Lolo NF
16,Lolo NF
16,Lolo NF
16,Lolo NF
17,Nez Perce NF
17,Nez Perce NF
17,Nez Perce NF
17,Nez Perce NF
17,Nez Perce NF
17,Nez Perce NF
17,Nez Perce NF
17,Nez Perce NF
18,Dakota Prairie Grasslands
18,Dakota Prairie Grasslands
18,Dakota Prairie Grasslands
18,Dakota Prairie Grasslands
18,Dakota Prairie Grasslands
23, 
24, 
52,Aerial Fire Depot
56,R1 Regional Office
57,R1 Regional Products & Service
,
02,Bighorn NF
02,Bighorn NF
02,Bighorn NF
02,Bighorn NF
02,Bighorn NF
02,Bighorn NF
02,Bighorn NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
03,Black Hills NF
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
04,Grand Mesa-Uncomp-Gunnison NFs
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
06,Medicine Bow-Routt NF
07,Nebraska NF
07,Nebraska NF
07,Nebraska NF
07,Nebraska NF
07,Nebraska NF
07,Nebraska NF
07,Nebraska NF
07,Nebraska NF
07,Nebraska NF
09,Rio Grande NF
09,Rio Grande NF
09,Rio Grande NF
09,Rio Grande NF
09,Rio Grande NF
09,Rio Grande NF
09,Rio Grande NF
09,Rio Grande NF
09,Rio Grande NF
10,Araphao-Roosevelt NF
10,Araphao-Roosevelt NF
10,Araphao-Roosevelt NF
10,Araphao-Roosevelt NF
10,Araphao-Roosevelt NF
10,Araphao-Roosevelt NF
10,Araphao-Roosevelt NF
10,Araphao-Roosevelt NF
11,Routt NF (Legacy)
11,Routt NF (Legacy)
11,Routt NF (Legacy)
11,Routt NF (Legacy)
11,Routt NF (Legacy)
12,Pike-San Isabel NF
12,Pike-San Isabel NF
12,Pike-San Isabel NF
12,Pike-San Isabel NF
12,Pike-San Isabel NF
12,Pike-San Isabel NF
12,Pike-San Isabel NF
12,Pike-San Isabel NF
12,Pike-San Isabel NF
13,San Juan NF
13,San Juan NF
13,San Juan NF
13,San Juan NF
13,San Juan NF
13,San Juan NF
14,Shoshone NF
14,Shoshone NF
14,Shoshone NF
14,Shoshone NF
14,Shoshone NF
14,Shoshone NF
15,White River NF
15,White River NF
15,White River NF
15,White River NF
15,White River NF
15,White River NF
15,White River NF
15,White River NF
15,White River NF
16,R2 Regional Projects/Services
31,R2 Regional Office
,
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
01,Apache-Sitgreaves NF
02,Carson NF
02,Carson NF
02,Carson NF
02,Carson NF
02,Carson NF
02,Carson NF
02,Carson NF
02,Carson NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
03,Cibola NF
04,Coconino NF
04,Coconino NF
04,Coconino NF
04,Coconino NF
04,Coconino NF
04,Coconino NF
04,Coconino NF
04,Coconino NF
05,Coronado NF
05,Coronado NF
05,Coronado NF
05,Coronado NF
05,Coronado NF
05,Coronado NF
05,Coronado NF
05,Coronado NF
06,Gila NF
06,Gila NF
06,Gila NF
06,Gila NF
06,Gila NF
06,Gila NF
06,Gila NF
06,Gila NF
06,Gila NF
07,Kaibab NF
07,Kaibab NF
07,Kaibab NF
07,Kaibab NF
07,Kaibab NF
07,Kaibab NF
08,Lincoln NF
08,Lincoln NF
08,Lincoln NF
08,Lincoln NF
08,Lincoln NF
09,Prescott NF
09,Prescott NF
09,Prescott NF
09,Prescott NF
09,Prescott NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
10,Santa Fe NF
12,Tonto NF
12,Tonto NF
12,Tonto NF
12,Tonto NF
12,Tonto NF
12,Tonto NF
12,Tonto NF
16,R3 Regional Office
19,Valles Caldera Natl Preserve
97,ISO
98,ASC
99,HRM
,
01,Ashley NF
01,Ashley NF
01,Ashley NF
01,Ashley NF
01,Ashley NF
01,Ashley NF
02,Boise NF
02,Boise NF
02,Boise NF
02,Boise NF
02,Boise NF
02,Boise NF
02,Boise NF
02,Boise NF
02,Boise NF
03,Bridger-Teton NF
03,Bridger-Teton NF
03,Bridger-Teton NF
03,Bridger-Teton NF
03,Bridger-Teton NF
03,Bridger-Teton NF
03,Bridger-Teton NF
03,Bridger-Teton NF
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
05,Caribou NF (Legacy)
06,Challis NF (Legacy)
06,Challis NF (Legacy)
06,Challis NF (Legacy)
06,Challis NF (Legacy)
06,Challis NF (Legacy)
06,Challis NF (Legacy)
06,Challis NF (Legacy)
07,Dixie NF
07,Dixie NF
07,Dixie NF
07,Dixie NF
07,Dixie NF
07,Dixie NF
07,Dixie NF
08,Fishlake NF
08,Fishlake NF
08,Fishlake NF
08,Fishlake NF
08,Fishlake NF
08,Fishlake NF
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
09,Humboldt NF (Legacy)
10,Manti-LaSal NF
10,Manti-LaSal NF
10,Manti-LaSal NF
10,Manti-LaSal NF
10,Manti-LaSal NF
