region,region_name,forest,forest_name,district,district_name,state
1,Northern Region,,,,,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,0,Supervisor’s Office,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,1,Dillon RD,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,2,Wise River RD,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,3,Wisdom RD,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,4,Butte RD,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,6,Madison RD,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,7,Jefferson RD,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,8,Pintler RD,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,9,Philipsburg RD (Legacy),MT
1,Northern Region,2,Beaverhead-Deerlodge NF,10,,MT
1,Northern Region,2,Beaverhead-Deerlodge NF,30,,MT
1,Northern Region,3,Bitterroot NF,0,Supervisor’s Office,MT
1,Northern Region,3,Bitterroot NF,1,Stevensville RD,MT
1,Northern Region,3,Bitterroot NF,2,Darby RD,MT
1,Northern Region,3,Bitterroot NF,3,Sula RD,ID
1,Northern Region,3,Bitterroot NF,3,Sula RD,MT
1,Northern Region,3,Bitterroot NF,4,West Fork RD,ID
1,Northern Region,3,Bitterroot NF,4,West Fork RD,MT
1,Northern Region,3,Bitterroot NF,5,,MT
1,Northern Region,3,Bitterroot NF,6,Trapper Creek Job Corp,MT
1,Northern Region,3,Bitterroot NF,8,Anaconda Job Corp,MT
1,Northern Region,4,Idaho Panhandle NF,0,Supervisor’s Office,ID
1,Northern Region,4,Idaho Panhandle NF,1,Wallace RD,ID
1,Northern Region,4,Idaho Panhandle NF,2,Avery RD,ID
1,Northern Region,4,Idaho Panhandle NF,3,Fernan RD,ID
1,Northern Region,4,Idaho Panhandle NF,4,Saint Maries RD,ID
1,Northern Region,4,Idaho Panhandle NF,6,Sandpoint RD,ID
1,Northern Region,4,Idaho Panhandle NF,6,Sandpoint RD,MT
1,Northern Region,4,Idaho Panhandle NF,7,Bonners Ferry RD,ID
1,Northern Region,4,Idaho Panhandle NF,7,Bonners Ferry RD,MT
1,Northern Region,4,Idaho Panhandle NF,8,Priest Lake RD,ID
1,Northern Region,4,Idaho Panhandle NF,8,Priest Lake RD,WA
1,Northern Region,4,Idaho Panhandle NF,10,Coeur D'Alene Nursery,ID
1,Northern Region,5,Clearwater NF,0,Supervisor’s Office,ID
1,Northern Region,5,Clearwater NF,1,Pierce RD,ID
1,Northern Region,5,Clearwater NF,2,Palouse RD,ID
1,Northern Region,5,Clearwater NF,3,North Fork RD,ID
1,Northern Region,5,Clearwater NF,5,Lochsa RD,ID
1,Northern Region,5,Clearwater NF,6,Powell RD,ID
1,Northern Region,8,Custer NF,0,Supervisor’s Office,MT
1,Northern Region,8,Custer NF,1,Sheyenne RD (Legacy),ND
1,Northern Region,8,Custer NF,1,Sheyenne RD (Legacy),ND
1,Northern Region,8,Custer NF,2,Beartooth RD,MT
1,Northern Region,8,Custer NF,3,Sioux RD,MT
1,Northern Region,8,Custer NF,3,Sioux RD,SD
1,Northern Region,8,Custer NF,4,Ashland RD,MT
1,Northern Region,8,Custer NF,5,,MT
1,Northern Region,8,Custer NF,6,Grand River RD (Legacy),ND
1,Northern Region,8,Custer NF,6,Grand River RD (Legacy),ND
1,Northern Region,8,Custer NF,6,Grand River RD (Legacy),SD
1,Northern Region,8,Custer NF,7,Medora RD (Legacy),ND
1,Northern Region,8,Custer NF,8,Mckenzie RD (Legacy),ND
1,Northern Region,10,Flathead NF,0,Supervisor’s Office,MT
1,Northern Region,10,Flathead NF,1,Swan Lake RD,MT
1,Northern Region,10,Flathead NF,4,Spotted Bear RD,MT
1,Northern Region,10,Flathead NF,6,Hungry Horse RD,MT
1,Northern Region,10,Flathead NF,7,Glacier View RD,MT
1,Northern Region,10,Flathead NF,8,Tally Lake RD,MT
1,Northern Region,11,Gallatin NF,0,Supervisor’s Office,MT
1,Northern Region,11,Gallatin NF,1,Big Timber RD,MT
1,Northern Region,11,Gallatin NF,2,Livingston RD,MT
1,Northern Region,11,Gallatin NF,3,Gardiner RD,MT
1,Northern Region,11,Gallatin NF,5,,MT
1,Northern Region,11,Gallatin NF,6,Bozeman RD,MT
1,Northern Region,11,Gallatin NF,7,Hebgen Lake RD,MT
1,Northern Region,12,Helena NF,0,Supervisor’s Office,MT
1,Northern Region,12,Helena NF,1,Townsend RD,MT
1,Northern Region,12,Helena NF,2,Helena RD,MT
1,Northern Region,12,Helena NF,4,Lincoln RD,MT
1,Northern Region,12,Helena NF,6,,MT
1,Northern Region,12,Helena NF,7,,MT
1,Northern Region,14,Kootenai NF,0,Supervisor’s Office,MT
1,Northern Region,14,Kootenai NF,1,Rexford RD,MT
1,Northern Region,14,Kootenai NF,2,,MT
1,Northern Region,14,Kootenai NF,3,Fortine RD,MT
1,Northern Region,14,Kootenai NF,4,Three Rivers RD,ID
