zip,state,county,city_town,climate_zone,moisture_regime
00501,NY,SUFFOLK,HOLTSVILLE,4,moist
01001,MA,HAMPDEN,AGAWAM,5,moist
01002,MA,HAMPSHIRE,AMHERST,5,moist
01003,MA,HAMPSHIRE,AMHERST,5,moist
01004,MA,HAMPSHIRE,AMHERST,5,moist
01005,MA,WORCESTER,BARRE,5,moist
01007,MA,HAMPSHIRE,BELCHERTOWN,5,moist
01008,MA,HAMPDEN,BLANDFORD,5,moist
01009,MA,HAMPDEN,BONDSVILLE,5,moist
01010,MA,HAMPDEN,BRIMFIELD,5,moist
01011,MA,HAMPDEN,CHESTER,5,moist
01012,MA,HAMPSHIRE,CHESTERFIELD,5,moist
01013,MA,HAMPDEN,CHICOPEE,5,moist
01014,MA,HAMPDEN,CHICOPEE,5,moist
01020,MA,HAMPDEN,CHICOPEE,5,moist
01021,MA,HAMPDEN,CHICOPEE,5,moist
01022,MA,HAMPDEN,CHICOPEE,5,moist
01026,MA,HAMPSHIRE,CUMMINGTON,5,moist
01027,MA,HAMPSHIRE,EASTHAMPTON,5,moist
01028,MA,HAMPDEN,EAST LONGMEADOW,5,moist
01029,MA,BERKSHIRE,EAST OTIS,5,moist
01030,MA,HAMPDEN,FEEDING HILLS,5,moist
01031,MA,WORCESTER,GILBERTVILLE,5,moist
01032,MA,HAMPSHIRE,GOSHEN,5,moist
01033,MA,HAMPSHIRE,GRANBY,5,moist
01034,MA,HAMPDEN,GRANVILLE,5,moist
01035,MA,HAMPSHIRE,HADLEY,5,moist
01036,MA,HAMPDEN,HAMPDEN,5,moist
01037,MA,WORCESTER,HARDWICK,5,moist
01038,MA,HAMPSHIRE,HATFIELD,5,moist
01039,MA,HAMPSHIRE,HAYDENVILLE,5,moist
01040,MA,HAMPDEN,HOLYOKE,5,moist
01041,MA,HAMPDEN,HOLYOKE,5,moist
01050,MA,HAMPSHIRE,HUNTINGTON,5,moist
01053,MA,HAMPSHIRE,LEEDS,5,moist
01054,MA,FRANKLIN,LEVERETT,5,moist
01056,MA,HAMPDEN,LUDLOW,5,moist
01057,MA,HAMPDEN,MONSON,5,moist
01059,MA,HAMPSHIRE,NORTH AMHERST,5,moist
01060,MA,HAMPSHIRE,NORTHAMPTON,5,moist
01061,MA,HAMPSHIRE,NORTHAMPTON,5,moist
01062,MA,HAMPSHIRE,FLORENCE,5,moist
01063,MA,HAMPSHIRE,NORTHAMPTON,5,moist
01066,MA,HAMPSHIRE,NORTH HATFIELD,5,moist
01068,MA,WORCESTER,OAKHAM,5,moist
01069,MA,HAMPDEN,PALMER,5,moist
01070,MA,HAMPSHIRE,PLAINFIELD,5,moist
01071,MA,HAMPDEN,RUSSELL,5,moist
01072,MA,FRANKLIN,SHUTESBURY,5,moist
01073,MA,HAMPSHIRE,SOUTHAMPTON,5,moist
01074,MA,WORCESTER,SOUTH BARRE,5,moist
01075,MA,HAMPSHIRE,SOUTH HADLEY,5,moist
01077,MA,HAMPDEN,SOUTHWICK,5,moist
01079,MA,HAMPDEN,THORNDIKE,5,moist
01080,MA,HAMPDEN,THREE RIVERS,5,moist
01081,MA,HAMPDEN,WALES,5,moist
01082,MA,HAMPSHIRE,WARE,5,moist
01083,MA,WORCESTER,WARREN,5,moist
01084,MA,HAMPSHIRE,WEST CHESTERFIELD,5,moist
01085,MA,HAMPDEN,WESTFIELD,5,moist
01086,MA,HAMPDEN,WESTFIELD,5,moist
01088,MA,HAMPSHIRE,WEST HATFIELD,5,moist
01089,MA,HAMPDEN,WEST SPRINGFIELD,5,moist
01090,MA,HAMPDEN,WEST SPRINGFIELD,5,moist
01092,MA,WORCESTER,WEST WARREN,5,moist
01093,MA,FRANKLIN,WHATELY,5,moist
01094,MA,WORCESTER,WHEELWRIGHT,5,moist
01095,MA,HAMPDEN,WILBRAHAM,5,moist
01096,MA,HAMPSHIRE,WILLIAMSBURG,5,moist
01098,MA,HAMPSHIRE,WORTHINGTON,5,moist
01101,MA,HAMPDEN,SPRINGFIELD,5,moist
01102,MA,HAMPDEN,SPRINGFIELD,5,moist
01103,MA,HAMPDEN,SPRINGFIELD,5,moist
01104,MA,HAMPDEN,SPRINGFIELD,5,moist
01105,MA,HAMPDEN,SPRINGFIELD,5,moist
01106,MA,HAMPDEN,LONGMEADOW,5,moist
01107,MA,HAMPDEN,SPRINGFIELD,5,moist
01108,MA,HAMPDEN,SPRINGFIELD,5,moist
01109,MA,HAMPDEN,SPRINGFIELD,5,moist
01111,MA,HAMPDEN,SPRINGFIELD,5,moist
01115,MA,HAMPDEN,SPRINGFIELD,5,moist
01116,MA,HAMPDEN,LONGMEADOW,5,moist
01118,MA,HAMPDEN,SPRINGFIELD,5,moist
01119,MA,HAMPDEN,SPRINGFIELD,5,moist
01128,MA,HAMPDEN,SPRINGFIELD,5,moist
01129,MA,HAMPDEN,SPRINGFIELD,5,moist
01138,MA,HAMPDEN,SPRINGFIELD,5,moist
01139,MA,HAMPDEN,SPRINGFIELD,5,moist
01144,MA,HAMPDEN,SPRINGFIELD,5,moist
01151,MA,HAMPDEN,INDIAN ORCHARD,5,moist
01152,MA,HAMPDEN,SPRINGFIELD,5,moist
01199,MA,HAMPDEN,SPRINGFIELD,5,moist
01201,MA,BERKSHIRE,PITTSFIELD,5,moist
01202,MA,BERKSHIRE,PITTSFIELD,5,moist
01203,MA,BERKSHIRE,PITTSFIELD,5,moist
01220,MA,BERKSHIRE,ADAMS,5,moist
01222,MA,BERKSHIRE,ASHLEY FALLS,5,moist
01223,MA,BERKSHIRE,BECKET,5,moist
01224,MA,BERKSHIRE,BERKSHIRE,5,moist
01225,MA,BERKSHIRE,CHESHIRE,5,moist
01226,MA,BERKSHIRE,DALTON,5,moist
01227,MA,BERKSHIRE,DALTON,5,moist
01229,MA,BERKSHIRE,GLENDALE,5,moist
01230,MA,BERKSHIRE,GREAT BARRINGTON,5,moist
01235,MA,BERKSHIRE,HINSDALE,5,moist
01236,MA,BERKSHIRE,HOUSATONIC,5,moist
01237,MA,BERKSHIRE,LANESBORO,5,moist
01238,MA,BERKSHIRE,LEE,5,moist
01240,MA,BERKSHIRE,LENOX,5,moist
01242,MA,BERKSHIRE,LENOX DALE,5,moist
01243,MA,HAMPSHIRE,MIDDLEFIELD,5,moist
01244,MA,BERKSHIRE,MILL RIVER,5,moist
01245,MA,BERKSHIRE,MONTEREY,5,moist
01247,MA,BERKSHIRE,NORTH ADAMS,5,moist
01252,MA,BERKSHIRE,NORTH EGREMONT,5,moist
01253,MA,BERKSHIRE,OTIS,5,moist
01254,MA,BERKSHIRE,RICHMOND,5,moist
01255,MA,BERKSHIRE,SANDISFIELD,5,moist
01256,MA,BERKSHIRE,SAVOY,5,moist
01257,MA,BERKSHIRE,SHEFFIELD,5,moist
01258,MA,BERKSHIRE,SOUTH EGREMONT,5,moist
01259,MA,BERKSHIRE,SOUTHFIELD,5,moist
01260,MA,BERKSHIRE,SOUTH LEE,5,moist
01262,MA,BERKSHIRE,STOCKBRIDGE,5,moist
01264,MA,BERKSHIRE,TYRINGHAM,5,moist
01266,MA,BERKSHIRE,WEST STOCKBRIDGE,5,moist
01267,MA,BERKSHIRE,WILLIAMSTOWN,5,moist
